"name","zipcode","addresse","LocName","latitude","longitude","iConf","iLvl"
"愛宕神社","105-0002","東京都港区愛宕1-5-3","東京都/港区/愛宕/一丁目/５番","139.74866","35.66482","5","7"
"稲荷神社【亀塚稲荷神社】","108-0073","東京都港区三田4-14-18","東京都/港区/三田/四丁目/１４番","139.74193","35.64610","5","7"
"稲荷神社【讃岐小白稲荷神社】","105-0013","東京都港区浜松町2-9-8","東京都/港区/浜松町/二丁目/９番","139.75627","35.65397","5","7"
"稲荷神社【古寿老稲荷神社】","108-0074","東京都港区高輪1-18-11","東京都/港区/高輪/一丁目/１８番","139.73312","35.63979","5","7"
"稲荷神社","108-0074","東京都港区高輪2-15-10","東京都/港区/高輪/二丁目/１５番","139.73836","35.63694","5","7"
"稲荷神社【船光稲荷神社】","107-0062","東京都港区南青山3-4-11","東京都/港区/南青山/三丁目/４番","139.71725","35.66705","5","7"
"春日神社","108-0073","東京都港区三田2-13-9","東京都/港区/三田/二丁目/１３番","139.74452","35.64962","5","7"
"烏森神社【烏森稲荷】","105-0004","東京都港区新橋2-15-5","東京都/港区/新橋/二丁目/１５番","139.75613","35.66644","5","7"
"熊野神社","106-0041","東京都港区麻布台2-2-14","東京都/港区/麻布台/二丁目/２番","139.74304","35.65864","5","7"
"古地老稲荷神社","108-0071","東京都港区白金台1-1-7","東京都/港区/白金台/一丁目/１番","139.72981","35.63879","5","7"
"金刀比羅宮【こんぴらさん】","105-0001","東京都港区虎ノ門1-2-7","東京都/港区/虎ノ門/一丁目/２番","139.74838","35.66968","5","7"
"幸稲荷神社","105-0011","東京都港区芝公園3-5-27","東京都/港区/芝公園/三丁目/５番","139.74602","35.66017","5","7"
"櫻田神社","106-0031","東京都港区西麻布3-2-17","東京都/港区/西麻布/三丁目/２番","139.72729","35.65970","5","7"
"鹽竈神社","105-0004","東京都港区新橋5-19-7","東京都/港区/新橋/五丁目/１９番","139.75462","35.66319","5","7"
"芝大神宮【芝神明】","105-0012","東京都港区芝大門1-12-7","東京都/港区/芝大門/一丁目/１２番","139.75299","35.65773","5","7"
"十番稲荷神社","106-0045","東京都港区麻布十番1-4-6","東京都/港区/麻布十番/一丁目/４番","139.73485","35.65704","5","7"
"神明宮【元神明】","108-0073","東京都港区三田1-4-74","東京都/港区/三田/一丁目/４番","139.74274","35.65316","5","7"
"末広稲荷神社","107-0052","東京都港区赤坂4-13-17","東京都/港区/赤坂/四丁目/１３番","139.73225","35.67292","5","7"
"高輪神社","108-0074","東京都港区高輪2-14-18","東京都/港区/高輪/二丁目/１４番","139.73799","35.63558","5","7"
"高山稲荷神社","108-0074","東京都港区高輪4-10-23","東京都/港区/高輪/四丁目/１０番","139.73698","35.62857","5","7"
"天祖神社【龍土神明宮】","106-0032","東京都港区六本木7-7-7","東京都/港区/六本木/七丁目/７番","139.72882","35.66499","5","7"
"東照宮","105-0011","東京都港区芝公園4-8-10","東京都/港区/芝公園/四丁目/８番","139.74625","35.65598","5","7"
"乃木神社","107-0052","東京都港区赤坂8-11-27","東京都/港区/赤坂/八丁目/１１番","139.72795","35.66887","5","7"
"八幡神社【西久保八幡様】","105-0001","東京都港区虎ノ門5-10-14","東京都/港区/虎ノ門/五丁目/１０番","139.74303","35.66167","5","7"
"氷川神社【白金氷川神社】","108-0072","東京都港区白金2-1-7","東京都/港区/白金/二丁目/１番","139.73108","35.64287","5","7"
"氷川神社【麻布氷川神社】","106-0046","東京都港区元麻布1-4-23","東京都/港区/元麻布/一丁目/４番","139.73123","35.65345","5","7"
"氷川神社【赤坂氷川神社】","107-0052","東京都港区赤坂6-10-12","東京都/港区/赤坂/六丁目/１０番","139.73557","35.66868","5","7"
"久国神社","106-0032","東京都港区六本木2-1-16","東京都/港区/六本木/二丁目/１番","139.73712","35.66713","5","7"
"日比谷神社【鯖稲荷】","105-0021","東京都港区東新橋2-1-1","東京都/港区/東新橋/二丁目/１番","139.75827","35.66348","5","7"
"廣尾稲荷神社","106-0047","東京都港区南麻布4-5-61","東京都/港区/南麻布/四丁目/５番","139.72487","35.65017","5","7"
"葺城稲荷神社","105-0001","東京都港区虎ノ門4-1-3","東京都/港区/虎ノ門/四丁目/１番","139.74454","35.66541","5","7"
"丸山神社","108-0074","東京都港区高輪1-21-10","東京都/港区/高輪/一丁目/２１番","139.73401","35.63837","5","7"
"御田八幡神社【八幡さま】","108-0073","東京都港区三田3-7-16","東京都/港区/三田/三丁目/７番","139.74164","35.64293","5","7"
"御穂神社","108-0014","東京都港区芝4-15-1","東京都/港区/芝/四丁目/１５番","139.74942","35.64653","5","7"
"柳神社","105-0014","東京都港区芝3-12-19","東京都/港区/芝/三丁目/１２番","139.74614","35.65276","5","7"
"青山熊野神社","150-0001","東京都渋谷区神宮前2-2-22","東京都/渋谷区/神宮前/二丁目/２番","139.71397","35.67265","5","7"
"稲荷神社【伊藤稲荷神社】","150-0011","東京都渋谷区東3-14-20","東京都/渋谷区/東/三丁目/１４番","139.70973","35.65112","5","7"
"恵比寿神社","〒 150-0021　東京都渋谷区恵比寿西1-11-1","東京都渋谷区恵比寿西1-11-1","東京都/渋谷区/恵比寿西/一丁目/１１番","139.70786","35.64717","5","7"
"穏田神社","150-0001","東京都渋谷区神宮前5-26-6","東京都/渋谷区/神宮前/五丁目/２６番","139.70427","35.66494","5","7"
"北谷稲荷神社","150-0041","東京都渋谷区神南1-4-1","東京都/渋谷区/神南/一丁目/４番","139.70041","35.66525","5","7"
"金王八幡宮","150-0002","東京都渋谷区渋谷3-5-12","東京都/渋谷区/渋谷/三丁目/５番","139.70657","35.65767","5","7"
"猿楽神社","150-0033","東京都渋谷区猿楽町29-9","東京都/渋谷区/猿楽町/２９番","139.70045","35.64793","5","7"
"千代田稲荷神社","150-0043","東京都渋谷区道玄坂2-20-8","東京都/渋谷区/道玄坂/二丁目/２０番","139.69629","35.65950","5","7"
"東郷神社","150-0001","東京都渋谷区神宮前1-5-3","東京都/渋谷区/神宮前/一丁目/５番","139.70624","35.67157","5","7"
"豊栄稲荷神社","150-0002","東京都渋谷区渋谷3-4-7","東京都/渋谷区/渋谷/三丁目/４番","139.70616","35.65713","5","7"
"八幡神社【鳩森八幡神社】","151-0051","東京都渋谷区千駄ケ谷1-1-24","東京都/渋谷区/千駄ケ谷/一丁目/１番","139.70930","35.67785","5","7"
"氷川神社【渋谷氷川神社】","150-0011","東京都渋谷区東2-5-6","東京都/渋谷区/東/二丁目/５番","139.71053","35.65500","5","7"
"氷川神社【幡ヶ谷氷川神社】","151-0071","東京都渋谷区本町5-16-2","東京都/渋谷区/本町/五丁目/１６番","139.67607","35.68533","5","7"
"平田神社","151-0053","東京都渋谷区代々木3-8-10","東京都/渋谷区/代々木/三丁目/８番","139.69601","35.68310","5","7"
"御嶽神社【御酉様】","150-0002","東京都渋谷区渋谷1-12-16","東京都/渋谷区/渋谷/一丁目/１２番","139.70383","35.66023","5","7"
"明治神宮","151-8557","東京都渋谷区代々木神園町1-1","東京都/渋谷区/代々木神園町/１番","139.69974","35.67558","5","7"
"代々木八幡宮","151-0053","東京都渋谷区代々木5-1-1","東京都/渋谷区/代々木/五丁目/１番","139.68863","35.67174","5","7"
"北野神社【松が丘天神】","165-0024","東京都中野区松が丘2-27-1","東京都/中野区/松が丘/二丁目/２７番","139.67097","35.72270","5","7"
"稲荷神社【藤神稲荷神社】","164-0013","東京都中野区弥生町2-19-4","東京都/中野区/弥生町/二丁目/１９番","139.67491","35.69114","5","7"
"北野神社【新井天神】","165-0026","東京都中野区新井4-14-3","東京都/中野区/新井/四丁目/１４番","139.66647","35.71511","5","7"
"須賀稲荷神社","165-0023","東京都中野区江原町1-44-2","東京都/中野区/江原町/一丁目/４４番","139.67247","35.73045","5","7"
"多田神社【権現様】","164-0014","東京都中野区南台3-43-1","東京都/中野区/南台/三丁目/４３番","139.66376","35.68353","5","7"
"天神社【第六天神社】","164-0003","東京都中野区東中野1-15-9","東京都/中野区/東中野/一丁目/１５番","139.68568","35.70262","5","7"
"八幡神社【鷺宮はちまんさま】","165-0035","東京都中野区白鷺1-31-10","東京都/中野区/白鷺/一丁目/３１番","139.63889","35.72150","5","7"
"八幡神社【やはた神社】","165-0034","東京都中野区大和町2-30-3","東京都/中野区/大和町/二丁目/３０番","139.65080","35.71396","5","7"
"氷川神社【おひかわさま】","164-0003","東京都中野区東中野1-11-1","東京都/中野区/東中野/一丁目/１１番","139.68274","35.70225","5","7"
"氷川神社【沼袋氷川神社】","165-0025","東京都中野区沼袋1-31-4","東京都/中野区/沼袋/一丁目/３１番","139.66580","35.71936","5","7"
"氷川神社【神明氷川神社】","164-0013","東京都中野区弥生町4-27-30","東京都/中野区/弥生町/四丁目/２７番","139.67006","35.68719","5","7"
"氷川神社【本郷氷川神社】","164-0012","東京都中野区本町4-10-3","東京都/中野区/本町/四丁目/１０番","139.67346","35.69424","5","7"
"氷川神社【江古田おひかわさま】","165-0022","東京都中野区江古田3-13-6","東京都/中野区/江古田/三丁目/１３番","139.66721","35.72781","5","7"
"氷川神社【上高田おひかわさま】","164-0002","東京都中野区上高田4-42-1","東京都/中野区/上高田/四丁目/４２番","139.67653","35.71474","5","7"
"井草八幡宮","167-0041","東京都杉並区善福寺1-33-1","東京都/杉並区/善福寺/一丁目/３３番","139.59550","35.71594","5","7"
"稲荷神社【永福稲荷】","168-0064","東京都杉並区永福1-24-6","東京都/杉並区/永福/一丁目/２４番","139.64305","35.67249","5","7"
"大宮八幡宮","168-8570","東京都杉並区大宮2-3-1","東京都/杉並区/大宮/二丁目/３番","139.63992","35.68252","5","7"
"熊野神社","168-0063","東京都杉並区和泉3-21-29","東京都/杉並区/和泉/三丁目/２１番","139.64780","35.67652","5","7"
"熊野神社","167-0032","東京都杉並区天沼2-40-2","東京都/杉並区/天沼/二丁目/４０番","139.62677","35.70879","5","7"
"神明宮","166-0001","東京都杉並区阿佐谷北1-25-5","東京都/杉並区/阿佐谷北/一丁目/２５番","139.63695","35.70743","5","7"
"天祖神社","166-0003","東京都杉並区高円寺南1-16-19","東京都/杉並区/高円寺南/一丁目/１６番","139.65697","35.70014","5","7"
"白山神社【荻窪白山】","167-0043","東京都杉並区上荻1-21-7","東京都/杉並区/上荻/一丁目/２１番","139.61633","35.70549","5","7"
"八幡神社【荻窪八幡】","167-0043","東京都杉並区上荻4-19-2","東京都/杉並区/上荻/四丁目/１９番","139.60645","35.71082","5","7"
"八幡神社","168-0073","東京都杉並区下高井戸4-39-3","東京都/杉並区/下高井戸/四丁目/３９番","139.63016","35.67535","5","7"
"八幡神社【天沼八幡】","167-0032","東京都杉並区天沼2-18-5","東京都/杉並区/天沼/二丁目/１８番","139.62328","35.70798","5","7"
"氷川神社","166-0003","東京都杉並区高円寺南4-44-19","東京都/杉並区/高円寺南/四丁目/４４番","139.65121","35.70480","5","7"
"馬橋稲荷神社【馬橋稲荷】","166-0004","東京都杉並区阿佐谷南2-4-4","東京都/杉並区/阿佐谷南/二丁目/４番","139.64217","35.70374","5","7"
